issue_id,patron_id,title,isbn,issue_date,employee_id
IS101,P107,One Hundred Years of Solitude,978-0-14-118776-1,3/11/2024,E104
IS102,P108,The Great Gatsby,978-0-525-47535-5,3/12/2024,E104
1S103,P109,Jane Eyre,978-0-141-44171-6,3/13/2024,E105
IS104,P110,The Alchemist,978-0-307-37840-1,3/14/2024,E105
IS105,P109,Harry Potter and the Sorcerers Stone,978-0-679-76489-8,3/15/2024,E105
IS106,P109,A Game of Thrones,978-0-09-957807-9,3/16/2024,E106
IS107,P109,A Peoples History of the United States,978-0-393-05081-8,3/17/2024,E106
IS108,P109,The Guns of August,978-0-19-280551-1,3/18/2024,E106
IS109,P109,The Histories,978-0-14-044930-3,3/19/2024,E107
IS110,P110,"Guns, Germs, and Steel: The Fates of Human Societies",978-0-393-91257-8,3/20/2024,E107
IS111,P110,1984,978-0-679-64115-3,3/21/2024,E107
IS112,P101,Pride and Prejudice,978-0-14-143951-8,3/22/2024,E108
IS113,P110,Brave New World,978-0-452-28240-7,3/23/2024,E108
1S114,P110,The Road,978-0-670-81302-4,3/24/2024,E108
IS115,P102,The Shining,978-0-385-33312-0,3/25/2024,E109
1S116,P100,Fahrenheit 451,978-0-451-52993-5,3/26/2024,E109
IS117,P102,Dune,978-0-345-39180-3,3/27/2024,E109
IS118,P103,Where the Wild Things Are,978-0-06-025492-6,3/28/2024,E110
1S119,P104,The Kite Runner,978-0-06-112241-5,3/29/2024,E110
1S120,P105,Charlotte's Web,978-0-06-440055-8,3/30/2024,E110
IS121,P105,Beloved,978-0-679-77644-3,3/31/2024,E110
IS122,P105,A Tale of Two Cities,978-0-14-027526-3,4/1/2024,E110
IS123,P105,The Stand,978-0-7434-7679-3,4/2/2024,E110
IS124,P106,Moby Dick,978-0-451-52994-2,4/3/2024,E101
IS125,P107,To Kill a Mockingbird,978-0-06-112008-4,4/4/2024,E101
IS126,P108,The Hobbit,978-0-7432-7356-4,4/5/2024,E106
IS127,P109,Angels & Demons,978-0-7432-4722-5,4/6/2024,E106
IS128,P110,The Diary of a Young Girl,978-0-375-41398-8,4/7/2024,E106
IS129,P111,Sapiens: A Brief History of Humankind,978-0-307-58837-1,4/8/2024,E108
IS130,P112,1491: New Revelations of the Americas Before Columbus,978-0-7432-7357-1,4/9/2024,E102
IS131,P113,The Catcher in the Rye,978-0-553-29698-2,4/10/2024,E103
IS132,P114,The Great Gatsby,978-0-525-47535-5,4/11/2024,E104
IS133,P115,Harry Potter and the Sorcerers Stone,978-0-679-76489-8,4/12/2024,E105
IS134,P116,Animal Farm,978-0-330-25864-8,4/13/2024,E102
