return_id,issue_id,title,isbn,return_date
R101,I105,Harry Potter and the Sorcerers Stone,978-0-679-76489-8,6/7/2023
R102,I103,Jane Eyre,978-0-141-44171-6,8/7/2023
R103,I106,A Game of Thrones,978-0-09-957807-9,5/1/2024
R104,I107,A Peoples History of the United States,978-0-393-05081-8,5/3/2024
R105,I108,The Guns of August,978-0-19-280551-1,5/5/2024
R106,I109,The Histories,978-0-14-044930-3,5/7/2024
R107,I110,"Guns, Germs, and Steel: The Fates of Human Societies",978-0-393-91257-8,5/9/2024
R108,I111,1984,978-0-679-64115-3,5/11/2024
R109,I112,Pride and Prejudice,978-0-14-143951-8,5/13/2024
R110,I113,Brave New World,978-0-452-28240-7,5/15/2024
R111,I114,The Road,978-0-670-81302-4,5/17/2024
R112,I115,The Shining,978-0-385-33312-0,5/19/2024
R113,I116,Fahrenheit 451,978-0-451-52993-5,5/21/2024
R114,I117,Dune,978-0-345-39180-3,5/23/2024
R115,I118,Where the Wild Things Are,978-0-06-025492-6,5/25/2024
R116,I119,The Kite Runner,978-0-06-112241-5,5/27/2024
R117,I120,Charlotte's Web,978-0-06-440055-8,5/29/2024
